Model,MAE,RMSE,MAPE,Training_Time_Seconds,Best_Epoch
XGBoost,0.0101183914769793,0.016374237014006,50.93108662011119,0.8601889610290527,
LSTM,0.0131446281448006,0.0187608766177164,54.37312126159668,9.944899082183838,18.0
Naive,0.0133721381999533,0.0244712072806128,78.34818896274021,,
SES,0.018456634989825,0.0256327753432179,56.97190055288065,,
SARIMA,0.02123,0.033497,76.13,162.07,
